,ID,Gender,Certificate,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19
186,4524,Female,IGCSE (British),3,5,5,5,3,1,1,1,1,1,3,2,1,1,5,3,5,5,3
187,4485,Male,IGCSE (British),5,5,4,5,3,5,5,5,4,5,5,4,5,5,3,5,5,4,5
188,4476,Female,IGCSE (British),4,5,5,5,5,3,1,2,2,5,5,2,5,1,4,5,5,5,5
189,4483,Male,IGCSE (British),4,4,5,4,4,3,4,4,5,5,5,4,5,4,4,3,5,5,5
190,4510,Male,IGCSE (British),4,5,3,4,4,3,3,4,1,1,3,1,3,1,4,3,4,4,3
191,4482,Female,IGCSE (British),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
192,4520,Female,IGCSE (British),3,3,,,,,,,,,,,,,,,,,
193,4498,Female,IGCSE (British),5,4,4,5,5,2,2,2,2,1,5,5,3,3,4,5,5,5,5
194,4500,Female,IGCSE (British),3,4,4,5,5,2,3,2,2,2,5,1,5,1,4,3,2,4,4
195,4513,Female,IGCSE (British),5,5,5,5,5,1,1,2,2,2,3,2,3,3,4,4,4,5,4
196,4484,Male,IGCSE (British),3,3,4,4,5,1,2,1,2,4,5,1,5,5,4,3,3,4,4
197,4492,Female,IGCSE (British),5,5,5,5,5,3,1,3,2,1,5,1,5,5,5,5,5,5,5
198,4522,Female,IGCSE (British),5,5,3,3,5,3,3,5,3,5,3,1,5,3,5,5,5,5,3
199,4461,Male,IGCSE (British),5,1,1,3,5,5,5,4,4,4,4,4,4,4,5,5,5,5,5
200,4494,Female,IGCSE (British),5,4,5,4,5,5,5,5,5,4,5,3,5,2,4,5,5,5,5
201,4514,Female,IGCSE (British),5,5,5,5,5,5,5,5,4,5,5,5,5,4,4,5,5,4,5
202,4517,Female,IGCSE (British),4,4,3,5,3,3,3,2,3,3,5,4,5,4,3,3,4,4,4
203,4515,Female,IGCSE (British),5,5,5,5,5,1,1,1,1,1,4,3,4,2,3,4,4,4,4
204,4488,Male,IGCSE (British),5,5,3,5,5,5,3,3,5,5,5,3,5,5,5,5,5,5,5
205,4478,Female,IGCSE (British),5,5,4,5,5,1,1,1,5,4,5,3,5,5,5,4,5,5,5
