"","ID","Gender","Certificate","Q01","Q02","Q03","Q04","Q05","Q06","Q07","Q08","Q09","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17","Q18","Q19","sum"
"225","4345","Male","National",5,5,3,5,5,1,3,1,1,1,1,1,3,1,3,1,5,5,5,505
"226","4350","Male","IB",3,5,4,3,4,3,2,3,2,2,5,3,5,3,3,3,2,4,4,515
"227","4463","Male","IGCSE (British)",5,5,3,5,5,1,1,1,1,1,1,1,3,1,NA,5,5,5,5,508
"228","4562","Female","IGCSE (British)",4,4,4,4,4,4,3,1,3,4,4,4,4,4,4,4,4,4,4,527
"229","4563","Male","IGCSE (British)",5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,551
"230","4564","Male","IGCSE (British)",4,5,5,4,4,4,4,4,2,2,3,1,2,1,4,5,5,5,5,529
"231","4537","Male","IGCSE (British)",3,3,5,5,5,5,5,3,1,1,3,1,1,3,3,5,5,3,3,525
"232","4558","Male","IGCSE (British)",5,3,4,5,5,4,5,3,1,1,3,1,2,3,3,5,5,5,4,531
"233","4550","Female","IGCSE (British)",5,5,4,5,5,3,3,2,1,2,4,4,5,4,4,3,5,5,5,540
"234","4573","Female","IGCSE (British)",1,3,3,3,5,5,5,5,5,5,5,5,5,5,1,1,3,1,3,537
"235","4536","Male","IGCSE (British)",3,4,3,5,4,1,1,1,1,1,1,1,1,1,3,3,4,4,4,516
"236","4571","Female","IGCSE (British)",3,3,5,5,5,5,5,3,5,5,5,5,3,5,3,3,5,5,5,555
